text,rating
"Exit load was deducted unexpectedly when I redeemed my mutual fund.",1
"I don't understand why money was cut during redemption. Support couldn't explain it.",2
"Charged an unexpected fee after selling my units. No warning during the flow.",1
"Why is there a hidden charge when I redeem? This is not transparent.",1
"Support agent could not clearly explain the charge on my redemption.",2
"Money was deducted for no reason during withdrawal. Very frustrating.",1
"Redemption succeeded but the amount credited was less than expected.",2
"Nowhere does it mention a 1% exit load before I confirm redemption.",2
"App should show expected charges before I redeem. It only appears later.",3
"The fine print hides the exit load. I thought my money would come in full.",1
"Exit load feels like a scam. They just take money at the end.",1
"I had to call support to understand the deducted amount on redemption.",2
"Redeem shows gross amount but net amount gets cut. Confusing UX.",2
"Where can I find the exit load policy in the app?",3
"Never was informed about exit load when I started investing.",3
"App is slow and crashes often on my phone.",4
"Recent update broke the transaction history tab.",2
"Notifications are duplicated every time I get a mutual fund statement.",3
"Login takes forever and sometimes logs me out.",3
"Please add support for more banks in the payment integration.",3
"rthe mutual fund NAV updates are delayed by a day.",3
"Transaction list shows wrong dates after the update.",2
"App logs me out randomly in the middle of the night.",1
"UI for the new dark mode is inconsistent across modules.",4
"Great app overall but the maintenance window frustrated me.",4
"I wish the app had a better way to track my SIP investments.",4
"The portfolio summary view is really nice. Redemption was my only pain.",5
"Overall good experience, fee transparency needs improvement.",4
"Love the mutual fund module. Please make fees clearer during purchase.",4
"Support is responsive but they do not have a standard answer for exit load.",3
